input,output,dataset_split,ls_run_depth,revision_id
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2044, 1], [""SLM Gated"", 2466, 1], [""Reviewer Pattern"", 3816, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2164, 1], [""SLM Gated"", 2261, 1], [""Reviewer Pattern"", 3891, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2201, 1], [""SLM Gated"", 2532, 1], [""Reviewer Pattern"", 3935, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2233, 1], [""SLM Gated"", 2174, 1], [""Reviewer Pattern"", 3746, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2655, 1], [""SLM Gated"", 2284, 1], [""Reviewer Pattern"", 4159, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2435, 1], [""SLM Gated"", 2339, 1], [""Reviewer Pattern"", 3831, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2327, 1], [""SLM Gated"", 2658, 1], [""Reviewer Pattern"", 4583, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2544, 1], [""SLM Gated"", 2250, 1], [""Reviewer Pattern"", 4631, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2434, 1], [""SLM Gated"", 2424, 1], [""Reviewer Pattern"", 3783, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2324, 1], [""SLM Gated"", 2524, 1], [""Reviewer Pattern"", 4180, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2281, 1], [""SLM Gated"", 2242, 1], [""Reviewer Pattern"", 4153, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2322, 1], [""SLM Gated"", 2646, 1], [""Reviewer Pattern"", 4604, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2323, 1], [""SLM Gated"", 2578, 1], [""Reviewer Pattern"", 3923, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2621, 1], [""SLM Gated"", 2171, 1], [""Reviewer Pattern"", 4166, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2197, 1], [""SLM Gated"", 2314, 1], [""Reviewer Pattern"", 3516, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2251, 1], [""SLM Gated"", 2599, 1], [""Reviewer Pattern"", 3966, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2612, 1], [""SLM Gated"", 2293, 1], [""Reviewer Pattern"", 3909, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2390, 1], [""SLM Gated"", 2714, 1], [""Reviewer Pattern"", 4460, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2317, 1], [""SLM Gated"", 2217, 1], [""Reviewer Pattern"", 3891, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2225, 1], [""SLM Gated"", 2277, 1], [""Reviewer Pattern"", 3597, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2329, 1], [""SLM Gated"", 2472, 1], [""Reviewer Pattern"", 3841, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2204, 1], [""SLM Gated"", 2564, 1], [""Reviewer Pattern"", 3755, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2335, 1], [""SLM Gated"", 2300, 1], [""Reviewer Pattern"", 3752, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2560, 1], [""SLM Gated"", 2347, 1], [""Reviewer Pattern"", 3490, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2349, 1], [""SLM Gated"", 2249, 1], [""Reviewer Pattern"", 4126, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2258, 1], [""SLM Gated"", 2311, 1], [""Reviewer Pattern"", 3837, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2442, 1], [""SLM Gated"", 2361, 1], [""Reviewer Pattern"", 3799, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2533, 1], [""SLM Gated"", 2724, 1], [""Reviewer Pattern"", 3844, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2421, 1], [""SLM Gated"", 2193, 1], [""Reviewer Pattern"", 3968, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2192, 1], [""SLM Gated"", 2491, 1], [""Reviewer Pattern"", 3731, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2473, 1], [""SLM Gated"", 2664, 1], [""Reviewer Pattern"", 3916, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2196, 1], [""SLM Gated"", 2687, 1], [""Reviewer Pattern"", 3622, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2467, 1], [""SLM Gated"", 2629, 1], [""Reviewer Pattern"", 3485, 2]]","[""base""]",0,c8ec734
Perform a Financial Audit on transaction log FCD-2026.,"[[""Hierarchical"", 2225, 1], [""SLM Gated"", 2463, 1], [""Reviewer Pattern"", 3409, 2]]","[""base""]",0,c8ec734
